Probe.ElapsedSecs         Probe.Earth.RMAG          Probe.X                   Probe.Y                   Probe.Z                   Probe.VX                  Probe.VY                  Probe.VZ                  Probe.TotalMass           
0                         6771                      6771                      0                         0                         0                         7.672599                  0                         1000                      
Probe.ElapsedSecs         Probe.Earth.RMAG          Probe.X                   Probe.Y                   Probe.Z                   Probe.VX                  Probe.VY                  Probe.VZ                  Probe.TotalMass           
1520000                   8341.60504783             8270.824947               1084.35670796             0                         -0.898114103556           6.85409814177             0                         999.992252803             
1540000                   8366.61630845             -4796.06261711            -6855.51251371            0                         5.65450042453             -3.95782184683            0                         999.992150866             
1560000                   8389.34180028             -1232.09474758            8298.37323666             0                         -6.81874679815            -1.0110709509             0                         999.99204893              
1580000                   8415.18053171             6230.4488126              -5656.56883409            0                         4.62658074179             5.09492890605             0                         999.991946993             
1600000                   8438.99903143             -8376.60140013            1024.33082346             0                         -0.836126598494           -6.82162865159            0                         999.991845056             
1620000                   8463.35813411             7721.05955944             3466.07417488             0                         -2.81008010254            6.26120076334             0                         999.991743119             
1640000                   8489.11775558             -5307.49122944            -6625.37977157            0                         5.34666739544             -4.28528425923            0                         999.991641182             
1660000                   8512.42410495             2296.28421339             8196.85567483             0                         -6.58929525617            1.84703531246             0                         999.991539246             
1680000                   8539.07630571             502.390627611             -8524.28459239            0                         6.82013220291             0.400744442727            0                         999.991437309             
1700000                   8562.42033756             -2698.63962484            8126.03139375             0                         -6.47596979949            -2.14910203911            0                         999.991335372             
1720000                   8589.17317922             4208.76348886             -7487.33636198            0                         5.93858248823             3.33712755592             0                         999.991233435             
1740000                   8612.97152741             -5102.66510449            6938.73816795             0                         -5.4817148295             -4.02910467066            0                         999.991131498             
1760000                   8639.7391463              5472.41314901             -6685.6403465             0                         5.25638836264             4.30144764516             0                         999.991029562             
1780000                   8663.86211957             -5372.31333074            6797.11382156             0                         -5.32267232902            -4.2047676226             0                         999.990927625             
1800000                   8690.89499491             4777.4599338              -7259.99534391            0                         5.6575477472              3.72188226887             0                         999.990825688             
1820000                   8715.0747491              -3605.88560312            7934.11097097             0                         -6.15781175906            -2.79686693937            0                         999.990723751             
1840000                   8742.57952856             1753.73792642             -8564.87595349            0                         6.61491498131             1.3532847746              0                         999.990621814             
1860000                   8766.77952605             797.779493713             8730.40498131             0                         -6.71518068031            0.614873875783            0                         999.990519878             
1880000                   8794.52592731             -3845.66226206            -7909.1445841             0                         6.05354455645             -2.94519593702            0                         999.990417941             
1900000                   8819.3429801              6811.9765487              5601.5878196              0                         -4.26950563683            5.19330133033             0                         999.990316004             
1920000                   8846.37711115             -8685.93650528            -1677.16875085            0                         1.27065901769             -6.59110026017            0                         999.990214067             
1940000                   8872.94889084             8255.44065365             -3252.21795602            0                         2.45727174031             6.2356454234              0                         999.99011213              
1960000                   8898.40371285             -4745.92521862            7527.13640478             0                         -5.66262743009            -3.56833978102            0                         999.990010194             
1980000                   8926.69813082             -1229.86177484            -8841.57110098            0                         6.61801261907             -0.92200572317            0                         999.989908257             
2000000                   8952.0329465              7047.30339939             5520.36309242             0                         -4.11433414475            5.25368947585             0                         999.98980632              
2020000                   8979.33033315             -8849.7720858             1519.83790625             0                         -1.12970153471            -6.56623225665            0                         999.989704383             
2040000                   9007.28504517             4307.88314812             -7910.33037661            0                         5.84238884758             3.18052447311             0                         999.989602446             
2060000                   9032.83223401             4088.26240812             8054.69854496             0                         -5.92333541166            3.0076528574              0                         999.98950051              
2080000                   9060.95718438             -9040.85650785            -603.207013923            0                         0.439523073492            -6.61796859596            0                         999.989398573             
2100000                   9089.05545931             4642.68352386             -7813.86068725            0                         5.69348589652             3.38163689694             0                         999.989296636             
2120000                   9115.05887231             5376.89105556             7360.25412757             0                         -5.33939739307            3.90182261073             0                         999.989194699             
2140000                   9143.1634507              -8754.38195906            2637.84654614             0                         -1.90685892202            -6.32143900231            0                         999.989092762             
2160000                   9172.08935825             -188.195720695            -9170.15842646            0                         6.59052394647             -0.136658757689           0                         999.988990826             
2180000                   9198.9001162              9039.91148762             1702.86923863             0                         -1.21782334424            6.46908172406             0                         999.988888889             
2200000                   9226.22319667             -2973.37820062            8733.96911781             0                         -6.22301893498            -2.11685003905            0                         999.988786952             
2220000                   9255.58523046             -8507.17743318            -3646.06501296            0                         2.5832684973              -6.03249415759            0                         999.988685015             
2240000                   9284.32968779             3755.84999767             -8490.7224985             0                         5.99241772193             2.64946749439             0                         999.988583078             
2260000                   9311.57082334             8702.92221574             3311.26805089             0                         -2.32590859161            6.11544359393             0                         999.988481142             
2280000                   9339.54143956             -2279.47131609            9057.09913937             0                         -6.33602418487            -1.59300067943            0                         999.988379205             
2300000                   9369.1516617              -9349.22722719            -610.698873732            0                         0.423083571931            -6.50881281263            0                         999.988277268             
2320000                   9398.78818154             -1686.81729564            -9246.1811951             0                         6.40595205273             -1.17024507327            0                         999.988175331             
2340000                   9427.2441364              8317.88482006             -4436.85971466            0                         3.06103955693             5.73671145674             0                         999.988073394             
2360000                   9455.27486216             7184.1170106              6147.4129109              0                         -4.22072859974            4.93401778838             0                         999.987971458             
2380000                   9484.18268623             -2543.6804499             9136.70679154             0                         -6.24610771713            -1.73723585209            0                         999.987869521             
2400000                   9514.19426102             -9267.84305894            2151.04102035             0                         -1.46543215519            -6.30466231962            0                         999.987767584             
2420000                   9544.52052867             -6786.00189849            -6711.78443902            0                         4.54287000204             -4.59583632027            0                         999.987665647             
2440000                   9574.38904627             1469.37385512             -9460.96538854            0                         6.37575284258             0.988808657644            0                         999.98756371              
2460000                   9603.68806723             8264.75479575             -4891.28333453            0                         3.28195567533             5.54361473703             0                         999.987461774             
2480000                   9632.83543089             9242.68078623             2713.73733486             0                         -1.81135596762            6.17247650633             0                         999.987359837             
2500000                   9662.31516126             4863.11504759             8349.27819092             0                         -5.5496687924             3.23383827784             0                         999.9872579               
2520000                   9692.36324718             -1623.69643754            9555.39194351             0                         -6.32283755191            -1.0727669391             0                         999.987155963             
2540000                   9722.93711937             -6989.24204468            6759.14209558             0                         -4.45262599977            -4.60138479933            0                         999.987054026             
2560000                   9753.84925009             -9565.93715589            1905.36650624             0                         -1.25086998737            -6.26913455645            0                         999.98695209              
2580000                   9784.90968791             -9306.86175788            -3021.05640801            0                         1.96853315142             -6.07123638122            0                         999.986850153             
2600000                   9816.00131814             -7094.67520899            -6783.76485123            0                         4.40232657277             -4.60695653435            0                         999.986748216             
2620000                   9847.08845653             -4013.61739308            -8991.99791441            0                         5.80884406118             -2.59476756278            0                         999.986646279             
2640000                   9878.19092774             -915.153718451            -9835.70788894            0                         6.32451954511             -0.590075697954           0                         999.986544343             
2660000                   9909.35270812             1710.92823778             -9760.53254997            0                         6.24700169304             1.09356029574             0                         999.986442406             
2680000                   9940.61955941             3680.61967031             -9234.11912785            0                         5.88249868288             2.34325084738             0                         999.986340469             
2700000                   9972.02807407             4995.51977596             -8630.53451867            0                         5.47222919777             3.16595721794             0                         999.986238532             
2720000                   10003.6028726             5730.30624261             -8199.73541028            0                         5.17460176754             3.61470576864             0                         999.986136595             
2740000                   10035.3576811             5954.5304877              -8077.86917811            0                         5.07356009488             3.73839215543             0                         999.986034659             
2760000                   10067.2970821             5690.31383956             -8304.86598               0                         5.19128719897             3.55542553678             0                         999.985932722             
2780000                   10099.4171976             4900.33502628             -8830.90846753            0                         5.49366973629             3.04696794307             0                         999.985830785             
2800000                   10131.7048354             3503.55864666             -9506.65659845            0                         5.88558633652             2.16755564909             0                         999.985728848             
2820000                   10164.135765              1422.0490899              -10064.1657496            0                         6.20063092523             0.87458324769             0                         999.985626911             
2840000                   10196.6740375             -1335.79007114            -10108.7994497            0                         6.19790344949             -0.820720600114           0                         999.985524975             
2860000                   10229.2755987             -4559.31843622            -9157.00249381            0                         5.58690033408             -2.78386673758            0                         999.985423038             
2880000                   10261.9002005             -7717.84253203            -6763.24643756            0                         4.10585182709             -4.68853269368            0                         999.985321101             
2900000                   10294.5341263             -9916.53267709            -2764.02108183            0                         1.66855351203             -5.99454552801            0                         999.985219164             
2920000                   10327.2202875             -10045.1994119            2396.96634123             0                         -1.44414814431            -6.04254397337            0                         999.985117227             
2940000                   10360.0808982             -7229.39988217            7420.71786022             0                         -4.444530802              -4.32704896009            0                         999.985015291             
2960000                   10393.305479              -1554.7888106             10276.3529783             0                         -6.12372966161            -0.924720963154           0                         999.984913354             
2980000                   10427.0765628             5269.13504847             8997.78536571             0                         -5.33482960632            3.1257149919              0                         999.984811417             
3000000                   10461.4361297             9982.98524472             3127.56318886             0                         -1.84431754228            5.89079269325             0                         999.98470948              
3020000                   10496.1633499             9255.77810084             -4949.7491669             0                         2.90706663747             5.43351985759             0                         999.984607543             
3040000                   10530.7994655             2380.03286239             -10258.3225216            0                         5.99321188356             1.38886026876             0                         999.984505607             
3060000                   10564.9237806             -6648.98326687            -8210.27624421            0                         4.77191491218             -3.86714234833            0                         999.98440367              
3080000                   10598.5760055             -10568.3932326            799.298332753             0                         -0.464779991822           -6.11499027189            0                         999.984301733             
3100000                   10632.430229              -4843.28767697            9465.25948154             0                         -5.45183446876            -2.78741515975            0                         999.984199796             
3120000                   10667.3144844             6075.16117306             8768.35303979             0                         -5.02400882923            3.48262493764             0                         999.984097859             
3140000                   10703.2749151             10548.7759573             -1812.02089111            0                         1.03431322238             6.01420032505             0                         999.983995923             
3160000                   10739.2338842             2237.02116594             -10503.6603488            0                         5.95875047087             1.2673844077              0                         999.983893986             
3180000                   10774.113991              -9274.26905983            -5483.56323004            0                         3.09369636861             -5.23674015996            0                         999.983792049             
3200000                   10808.442385              -7769.9914632             7513.29883955             0                         -4.22308318437            -4.36423211999            0                         999.983690112             
3220000                   10843.9759003             5724.25234718             9210.03520039             0                         -5.1486979531             3.20180072762             0                         999.983588175             
3240000                   10881.0611752             10027.3744273             -4224.83779488            0                         2.35117145118             5.57702483002             0                         999.983486239             
3260000                   10917.6692374             -3187.51027229            -10441.9959702            0                         5.77823963219             -1.76591330567            0                         999.983384302             
3280000                   10952.7035469             -10615.3198466            2697.53582758             0                         -1.4880674197             -5.84631050927            0                         999.983282365             
3300000                   10988.3897635             2788.24795895             10628.7526509             0                         -5.82555293987            1.52996585339             0                         999.983180428             
3320000                   11026.2452673             10470.8164324             -3455.44323273            0                         1.88544418158             5.70913636322             0                         999.983078491             
3340000                   11063.6072148             -4662.35317146            -10033.2381367            0                         5.44223813357             -2.53124038899            0                         999.982976555             
3360000                   11099.0900881             -9124.82670339            6318.80830667             0                         -3.41369101558            -4.92559073408            0                         999.982874618             
3380000                   11136.1200942             8223.2143572              7509.45513252             0                         -4.0334165699             4.41895883006             0                         999.982772681             
3400000                   11175.0148152             4975.61079467             -10006.2107383            0                         5.34820435703             2.6575838036              0                         999.982670744             
3420000                   11211.7632261             -11118.1123196            -1446.1027239             0                         0.766661411699            -5.91302000513            0                         999.982568807             
3440000                   11248.3633315             2856.5107709              10879.61506               0                         -5.75749451474            1.51348125256             0                         999.982466871             
3460000                   11287.8707485             8661.95153543             -7237.86029376            0                         3.81135328733             4.55893130609             0                         999.982364934             
3480000                   11325.6890175             -10506.5865838            -4228.81426385            0                         2.21282406138             -5.50423538012            0                         999.982262997             
3500000                   11362.5932528             1842.74684132             11212.1723813             0                         -5.84439269221            0.96239840716             0                         999.98216106              
3520000                   11402.7568194             8256.07054234             -7865.12315742            0                         4.07911323146             4.27962642804             0                         999.982059123             
3540000                   11440.8903286             -11296.2720198            -1813.34220893            0                         0.933103115946            -5.82827718733            0                         999.981957187             
3560000                   11478.7247167             5944.1283005              9819.7993803              0                         -5.04048762829            3.05307465829             0                         999.98185525              
3580000                   11519.6342662             3084.03126062             -11099.1317143            0                         5.66785490495             1.57299623602             0                         999.981753313             
3600000                   11557.3999985             -9934.45689012            5905.93439047             0                         -3.00315031429            -5.04692035083            0                         999.981651376             
3620000                   11597.2037862             11420.8451519             2014.80313573             0                         -1.01708398577            5.7737739028              0                         999.981549439             
3640000                   11637.8062146             -7815.58746653            -8622.94184382            0                         4.33457570823             -3.93188356326            0                         999.981447503             
3660000                   11675.9043411             1495.77180439             11579.6981348             0                         -5.79469572021            0.750461774442            0                         999.981345566             
3680000                   11717.9255656             4864.69708964             -10660.417524             0                         5.30653203009             2.41956927594             0                         999.981243629             
3700000                   11756.6669935             -9450.53877739            6993.32078577             0                         -3.46562793148            -4.67925098982            0                         999.981141692             
3720000                   11797.9518176             11600.9522656             -2146.9917609             0                         1.05926307194             5.71515503993             0                         999.981039755             
3740000                   11838.6930563             -11551.1230349            -2593.49376598            0                         1.26867158114             -5.66207796749            0                         999.980937819             
3760000                   11878.8156715             9979.05706374             6443.96476365             0                         -3.14111233629            4.86729625423             0                         999.980835882             
3780000                   11921.2944493             -7632.68127516            -9157.47988803            0                         4.44013445672             -3.70391494018            0                         999.980733945             
